employment_rate_overall,gross_monthly_mean,university
94.5,4192,National University of Singapore
97.6,4203,National University of Singapore
91.3,4079,National University of Singapore
93.3,3079,National University of Singapore
90.8,3162,National University of Singapore
93.8,3168,National University of Singapore
100,4882,National University of Singapore
97.4,3328,National University of Singapore
91.8,3462,National University of Singapore
73.3,2500,National University of Singapore
93.5,3956,National University of Singapore
91.7,4362,National University of Singapore
89.4,4131,National University of Singapore
88.7,3419,National University of Singapore
98,3646,Singapore Management University
97.8,4089,Singapore Management University
93.3,3995,Singapore Management University
95.8,4504,Singapore Management University
91.3,4143,Singapore Management University
93.2,4737,Singapore Management University
95.1,4014,Singapore Management University
96.1,4305,Singapore Management University
91.3,3493,Singapore Management University
87.9,3938,Singapore Management University
97.6,4941,Singapore Management University
97.9,5287,Singapore Management University
96.2,3067,Singapore Institute of Technology
88.5,2876,Singapore Institute of Technology
100,3291,Singapore Institute of Technology
96.9,3904,Singapore Institute of Technology
90.7,2949,Singapore Institute of Technology
92.3,2841,Singapore Institute of Technology
77.3,3290,Singapore Institute of Technology
94.4,3269,Singapore Institute of Technology
96.2,3541,Singapore Institute of Technology
90.5,3145,Singapore Institute of Technology
95.5,3537,Singapore Institute of Technology
100,3866,Singapore Institute of Technology
97.7,2980,Singapore Institute of Technology
84.5,3301,Singapore Institute of Technology
82.8,3591,Singapore Institute of Technology
87.9,2598,Singapore Institute of Technology
100,3258,Singapore Institute of Technology
100,3489,Singapore Institute of Technology
81.3,3481,Singapore Institute of Technology
80,3280,Singapore Institute of Technology
96.6,3670,Singapore Institute of Technology
94.6,3595,Singapore Institute of Technology
95.8,3724,Singapore Institute of Technology
98.2,3741,Singapore Institute of Technology
86.4,3825,Singapore Institute of Technology
96.4,2890,Singapore Institute of Technology
94.1,3113,Singapore Institute of Technology
94.7,2829,Singapore Institute of Technology
89.9,3638,Singapore University of Technology and Design
100,4175,Singapore University of Technology and Design
91.7,3956,Singapore University of Technology and Design
94.6,3245,Nanyang Technological University
99.2,4456,Nanyang Technological University
92.6,3776,Nanyang Technological University
100,4572,Nanyang Technological University
95.3,3873,Nanyang Technological University
77.5,3660,Nanyang Technological University
91.6,3782,Nanyang Technological University
96.5,3597,Nanyang Technological University
95.8,3865,Nanyang Technological University
94.4,4062,Nanyang Technological University
92.7,3772,Nanyang Technological University
92.1,3485,Nanyang Technological University
93.2,3800,Nanyang Technological University
93.3,3409,Nanyang Technological University
86.5,3650,Nanyang Technological University
85.6,3653,Nanyang Technological University
85.7,2986,Nanyang Technological University
86.4,3260,Nanyang Technological University
95,3166,Nanyang Technological University
90.1,3755,Nanyang Technological University
81.6,3124,Nanyang Technological University
74.4,3719,Nanyang Technological University
79.2,3091,Nanyang Technological University
80,3126,Nanyang Technological University
90.1,3355,Nanyang Technological University
80.6,3619,Nanyang Technological University
80.2,3374,Nanyang Technological University
80.1,3319,Nanyang Technological University
90.9,2953,Nanyang Technological University
77.6,3427,Nanyang Technological University
76.2,3389,Nanyang Technological University
87.1,3744,Nanyang Technological University
96.3,3569,Nanyang Technological University
80.2,3576,Nanyang Technological University
