"employment_rate_overall","gross_monthly_mean","category"
96.8,3569,"Science4"
90.9,3119,"Science4"
100,3888,"Science4"
91,4039,"Science4"
92.5,3850,"Science4"
94.1,3836,"Science4"
96.9,4063,"Science4"
87.2,3082,"Science5"
86,3265,"Science5"
74.4,3719,"Science5"
73,3498,"Science5"
87.2,3644,"Science5"
82.2,3800,"Science5"
80.8,3208,"Science6"
73.7,3241,"Science6"
82.1,3186,"Science6"
85.7,3683,"Science6"
81.6,3490,"Science6"
80.2,3576,"Science6"
90,3849,"Science6"
92.6,3719,"Science6"
84.5,3793,"Science6"
89.3,2503,"Science7"
92.6,2586,"Science7"
86.2,2344,"Science7"
87.9,2598,"Science7"
81.6,2638,"Arts1"
100,3506,"Arts1"
84.8,2888,"Arts1"
86.6,3154,"Arts1"
82.1,3023,"Arts1"
80,2791,"Arts1"
100,3536,"Arts1"
81.9,2883,"Arts1"
83.1,3277,"Arts1"
98.4,4400,"Arts1"
77.3,2603,"Arts1"
100,2490,"Arts1"
90.6,2603,"Arts1"
89.1,2595,"Arts1"
93.9,2583,"Arts1"
89.3,2503,"Arts1"
79.3,3457,"Arts1"
100,3622,"Arts1"
88.4,2999,"Arts1"
83,3310,"Arts1"
97.6,4099,"Arts1"
72,2908,"Arts1"
88.5,2682,"Arts1"
76.1,2922,"Arts1"
87.5,2893,"Arts1"
92.6,2586,"Arts1"
79.7,2761,"Arts1"
100,3525,"Arts1"
86.1,3063,"Arts1"
90.7,3321,"Arts1"
93.2,3960,"Arts1"
90.6,3320,"Arts1"
91.1,2652,"Arts1"
97.4,2485,"Arts1"
86.2,2344,"Arts1"
92.6,4131,"Arts1"
84.6,3147,"Arts1"
84.7,3379,"Arts1"
86,3265,"Arts1"
80,3117,"Arts1"
74.1,3479,"Arts1"
85.8,3107,"Arts1"
88.2,3391,"Arts1"
91.3,4079,"Arts1"
93.3,3079,"Arts1"
93.5,3956,"Arts1"
96.2,3067,"Arts1"
88.5,2876,"Arts1"
90.7,2949,"Arts1"
92.3,2841,"Arts1"
87.9,2598,"Arts1"
86.4,3825,"Arts1"
85.7,2986,"Arts1"
76.2,3389,"Arts1"
100,3751,"Arts1"
83.7,3322,"Arts1"
